MolWt,LogP,TPSA,HBD,HBA,RotB,RadiusGyr,Asphericity,Spherocity,PMI1,PMI2,PMI3
304.39299999999963,4.315200000000003,34.15,1,3,7,4.830609068076878,0.6272129817853437,0.1545210123861511,1002.1570882541919,6292.406335431042,6911.326369414689
507.44699999999966,4.362080000000002,106.92999999999998,2,7,13,4.778368454643535,0.3014732809550435,0.2221656665517601,3571.452669849266,9055.10832513735,10546.315892331439
377.3509999999997,2.4281800000000002,115.19,2,7,6,4.254069038685385,0.30461451841038606,0.1628969501801358,2256.3810598957516,4817.255074454715,6584.2839851962335
378.39599999999973,1.4074799999999998,136.67000000000002,2,9,5,4.715682682236973,0.6374507754084261,0.2354707515014316,1134.4754380865638,7692.430547005482,8002.379592749869
377.4959999999996,2.8881200000000016,81.83,0,7,5,5.2968162083378205,0.7191840095137316,0.17592404106402526,1076.6998051922658,9868.092049417965,10237.461463701417
349.47399999999953,4.235200000000003,32.7,1,3,11,3.684521267459655,0.10185210060738775,0.7034420379711231,2159.2408990331837,3571.509115940442,3757.9562310672936
269.38799999999975,3.1884000000000015,32.26,2,2,9,3.6714719003654803,0.3271542396800823,0.33117753674272654,1066.0288137361517,2850.6357603745137,3345.8774600427428
469.51699999999977,1.7734999999999994,90.74000000000001,1,9,8,5.730331790634651,0.6894599678416007,0.17939164013421563,1744.8773100646492,14429.59373976224,14660.308980537631
305.42099999999954,4.266500000000003,32.26,2,2,8,3.8768484382575608,0.3110202761134095,0.2813370990316866,1413.941324245869,3493.943982255372,4273.041740673732
392.4059999999997,2.0816,100.59,3,7,6,4.0337567420136375,0.4358997526347158,0.1742884346554767,1515.2978842538116,5091.197025151293,6163.33296741186
573.0890000000016,6.881120000000008,92.87000000000002,1,6,10,6.271077011954096,0.5402551923684167,0.19106505677046862,4018.7209555166323,19741.73154979186,21314.609890896587
337.4269999999996,4.000980000000003,90.52000000000001,2,5,6,3.84463197361265,0.3041724037096713,0.20497390596834972,1674.9127111069338,3457.3167169023886,4842.919150973007
495.54899999999964,5.190580000000006,73.12,0,5,12,4.936840051124438,0.27454986770485873,0.15942223467967379,4187.083640035224,8518.715995880555,11449.627041446729
390.40899999999965,4.271480000000003,78.67,1,4,9,4.065263780979114,0.15613997544359356,0.49518216692161887,2708.635318478812,4583.859165510798,5611.592381324166
320.3179999999997,3.1860800000000014,61.6,1,4,6,3.942611636550538,0.27301268472140505,0.26952812343393323,1713.7907337026422,3554.1628894506453,4690.211850136072
403.4079999999997,2.9642800000000005,104.69000000000001,2,5,7,5.134060798540181,0.46888169700248583,0.13730237160229344,2343.509980174322,8576.668602561957,10346.345726958996
519.5200000000003,2.7947000000000015,100.13000000000001,3,6,7,6.791931646780529,0.717374967336152,0.1528830489694378,2451.53080104714,22370.70888016959,23109.02411102896
460.4999999999998,3.357000000000003,74.33000000000001,2,4,6,6.744799043068356,0.8560050809476353,0.09701921821842863,1044.906831847808,20348.581740304486,20504.932742844812
452.5109999999997,1.3116199999999998,104.97,1,8,7,5.843571645604582,0.7270638302989392,0.18396004901975016,1522.6195045005293,14433.413692561968,14948.051311657195
355.50299999999964,3.6448000000000027,46.17,1,3,7,4.933104575440738,0.8093101406101375,0.10052442765739766,579.1344298767046,8325.753346731874,8397.81349135453
340.4229999999996,3.2613200000000013,68.7,1,4,6,4.31992396709551,0.44918255553860703,0.3323883751954708,1400.0665032774525,5533.915741139869,5771.790885640214
364.4889999999996,3.792500000000003,55.56000000000001,1,3,7,4.687236218107976,0.6299273133938379,0.22937192081042343,1107.0919016484395,7265.224283988948,7643.464142934748
337.4229999999996,2.754900000000001,68.45000000000002,1,4,5,4.429076001049014,0.541042494680449,0.16948327537527916,1200.647218013678,5614.673418829887,6422.940489737192
362.4729999999996,3.849000000000003,55.56000000000001,1,3,5,4.341317657959248,0.45429165124602616,0.3208872580033811,1493.099574245033,5888.104126822004,6281.881839125416
385.8949999999997,3.9693000000000023,68.45,1,4,6,4.422749028968512,0.5238169228730024,0.2649169571980293,1419.9980118032215,6435.396753167723,7241.36481348742
499.48599999999976,3.3928800000000026,90.71000000000001,0,6,7,4.832214881915209,0.456205087054232,0.16056727501067877,2646.9175443146496,9360.166833473833,11319.212178130703
467.5329999999998,4.021900000000002,98.06000000000002,1,8,10,4.691150529700158,0.3197845810205396,0.2136071241141801,3193.0983044893514,7595.302103600785,9789.497275173291
568.6700000000018,6.236320000000006,102.10000000000001,1,7,12,6.876201956033454,0.7764864446717441,0.06809755790300033,2140.052598828949,25325.119506568866,26310.71217449793
434.6089999999997,4.174500000000004,48.470000000000006,1,5,7,5.534114796547312,0.7459762849043514,0.14415915750301347,1210.342788467813,12606.329175274375,12804.369296457764
420.5819999999997,3.7844000000000024,48.470000000000006,1,5,6,5.49042999076535,0.7267039096144335,0.13079031782684156,1252.4089794875517,11809.66254336214,12294.667095493389
483.6409999999998,4.4733000000000045,61.36000000000001,1,6,6,5.306404402002969,0.3857157518994497,0.1868649732591273,3611.950549702902,10616.832905916868,13007.873144221112
345.4899999999995,4.940440000000004,29.020000000000003,0,3,7,5.028355639388692,0.7544015131806902,0.13514605038812985,766.2664521855392,8273.431027861001,8431.289894139598
335.45099999999957,4.533440000000004,42.160000000000004,0,4,7,5.01360747403479,0.7847418639751863,0.11072008872476165,643.8952123611074,7980.174894199472,8239.896935349858
469.56399999999974,4.686680000000004,62.94,0,5,10,5.959697724195977,0.598895444712887,0.12366498569937642,2568.2277113428167,14559.43040457128,16228.287336692973
526.7100000000005,6.015420000000006,72.87,0,8,11,6.8680112505189514,0.8366648199252129,0.08786242930463481,1412.96605347863,24112.364603551403,24164.046765685063
645.5490000000009,7.232720000000007,72.87,0,8,9,6.961284739163047,0.7900511193256982,0.13441953988055472,2323.1731138775494,29746.04453931458,30496.726794997747
591.5790000000013,6.522340000000007,72.87,0,8,10,6.347609077356491,0.6160446841539591,0.19924990098567402,3424.6344896847877,21779.90275765322,22467.431712684207
484.62899999999973,4.981240000000004,72.87,0,8,8,6.05897528485189,0.7997625804809453,0.09701486642366738,1259.324362255393,16864.123408664025,17459.15858977841
591.5790000000014,6.387820000000008,72.87,0,8,10,6.794031640498541,0.7934580183902293,0.07081639118952364,1993.687738714757,25958.09678046046,26661.446979310946
525.7260000000005,5.3708200000000055,64.66,0,8,11,6.6576720634926625,0.7034276445055281,0.07477867242552434,2535.5724134576267,21271.329557060428,22798.284515030064
526.7100000000005,4.897420000000005,67.15,0,7,10,7.145833582326998,0.8532667116040081,0.08286298277344559,1369.6609477896504,25986.48348069869,26434.575283684822
437.9309999999997,2.210699999999999,86.15,1,7,5,4.733034874742472,0.4433746871592276,0.2922505265924176,2193.391553868478,8484.312281195333,8943.02309545982
505.8289999999998,6.475000000000006,71.45,2,4,8,4.794859099304696,0.328867695836147,0.24802741010640025,3489.7102804241345,8791.579990346916,10977.408786366703
306.36899999999963,2.7825000000000006,45.400000000000006,0,5,3,4.414447740471596,0.7659398316001211,0.14498011322726334,498.1304460306616,5638.219638418232,5804.2890772579885
305.38499999999965,2.5176,48.05,1,4,3,4.484471661777334,0.7865235655189781,0.10879751464256421,464.46766129052514,5826.835245396882,5991.578679621462
322.43699999999967,3.251000000000002,32.260000000000005,0,5,3,4.67499273990216,0.8192889546710532,0.09223848154152918,447.31190380967854,6719.740233838934,6927.028403353423
321.44899999999967,3.8560000000000025,19.37,0,4,3,4.696026850375532,0.8151346493126953,0.11580006822859185,460.0979348534748,6779.956984007391,6937.5613483698435
338.3859999999996,2.9491000000000005,51.97,1,5,4,4.2290670501840175,0.4293206370730183,0.129848816056295,1473.389711405767,4748.421379088725,5882.261621477889
324.3589999999997,2.770200000000001,51.97,1,5,3,3.6837156350059517,0.2668781300474111,0.22675447061690984,1529.7156656742352,3142.925018683202,4130.307453926672
296.34899999999965,3.007600000000002,42.74,1,4,6,3.6113981220263014,0.15572808872638075,0.3134149475561982,1895.9963919637005,2262.8739387583914,3571.2133886610045
477.95599999999973,4.253200000000002,96.68,2,8,11,5.489393260694434,0.3984243397623967,0.17204474317982812,3617.2642759752757,11763.80096412401,13423.850099577015
554.905000000001,6.411000000000005,74.31,0,8,5,4.780428843827419,0.3608100089723292,0.22665035115173301,3517.5534857365715,9890.669014044926,11953.71044852753
443.96599999999944,3.412100000000002,66.64,1,3,8,5.186470034200814,0.7810389184981923,0.14681776854533996,929.2797610518986,11276.212552677345,11679.409139323167
643.6720000000013,7.617100000000009,43.86000000000001,0,3,5,6.017129894896103,0.49788617553549086,0.21676987591442234,4611.228304628525,20214.929199244805,21783.2290547054
340.42699999999957,2.8828400000000007,118.2,4,4,10,6.109032979594273,0.8635267216378748,0.06720181225093479,600.8730012705611,12261.702331187169,12547.08927315585
323.76999999999964,4.347800000000003,21.259999999999998,1,2,5,3.545652814303773,0.16801421591540128,0.3916025808602274,1740.1539164165345,2734.1611254353297,3666.3337113315315
371.5239999999996,5.9961000000000055,12.47,0,2,11,4.298049238822024,0.27565381734804884,0.24162567803797563,2317.524680363606,4994.334116387737,6414.635771845653
513.6849999999998,4.025300000000002,95.58000000000001,2,5,11,5.604207805680847,0.38368992654694656,0.23974883113849405,4232.812607748952,12842.339251767335,15191.606831925516
266.38799999999986,3.5328000000000026,15.27,1,2,5,3.2694404674646025,0.1663928473760028,0.36923985396877346,1249.4942246758933,1856.7065911165541,2588.770231397525
373.51799999999963,3.1464000000000016,57.61,1,4,9,5.5232491217037545,0.7972211534084134,0.10750626508743638,814.7666254056033,10887.441491672284,11087.081911752828
427.6099999999996,4.580700000000005,46.61,0,4,8,5.68297460330923,0.6513999342044482,0.16599766487289033,1792.953893301261,12479.865997292978,13347.536565769267
370.5179999999996,4.290820000000003,55.56,1,4,7,4.419027135859143,0.5022151584218253,0.2133836119891863,1444.2006476911743,6067.692246866798,6958.91051941926
451.9579999999998,4.122820000000003,76.03999999999999,1,6,7,5.1970039887301,0.6030794149568797,0.25246606063692234,1828.4901141375049,10979.768407627635,11605.473549620707
570.4580000000007,5.605900000000004,78.52000000000001,1,6,10,4.545590490984292,0.22396920528755962,0.5276611743074457,4265.34791167712,8822.576038671981,10486.130720926652
301.7809999999997,3.118000000000001,48.53,0,5,6,4.215806836372065,0.5687512585854428,0.14869713232059517,898.9947298761497,4630.671628118816,5197.457534142951
530.5760000000008,3.624480000000003,114.17,3,8,7,5.1412626951397975,0.44092118448666434,0.2701297255314293,3169.6454245353953,11926.563761064868,12952.778175441783
573.5630000000011,4.771600000000004,90.38000000000001,3,7,7,5.32779626210187,0.5061499548006818,0.14250998445658813,3247.448060737474,13504.91139272707,15809.285831580093
520.5810000000001,3.4562200000000027,103.27000000000001,3,8,8,4.064334584091011,0.12687426540675,0.5193168327541859,3978.2139880845752,5705.74368640771,7514.805425143975
499.54099999999966,3.5645000000000024,109.06,3,7,7,5.784031929235138,0.531110246759519,0.20371037950931328,3050.6391173670777,14595.296723014222,15778.37780475125
530.5510000000007,3.0949000000000018,112.5,3,8,9,6.148041286693872,0.62614601991611,0.12974101250999073,2839.0135844170272,17755.91335647561,19513.043271425966
329.29699999999974,1.8263800000000003,70.12,1,3,5,3.4269574616751,0.222357515998453,0.2912360669676554,1534.6738328132028,2559.7282895239546,3640.1504741426197
409.4609999999998,3.2660800000000023,67.49000000000001,0,6,11,4.633791597742873,0.39047206576918386,0.11554517613856555,2353.2828178126783,6703.5549651214915,8527.075523054165
1083.4090000000024,7.495900000000008,206.58999999999997,3,12,28,10.53526273356386,0.6592988680323145,0.1953098344701115,15086.805192349493,111566.1360216646,113846.00408043942
568.5210000000012,2.6939,156.68999999999997,2,9,9,4.431473951052955,0.3531175471183138,0.15236309634018474,3173.5249880720644,8577.778781547033,10577.883112523707
456.3329999999998,4.779970000000004,98.18,3,4,7,5.335881984732919,0.3006800701936955,0.08592203555165401,4567.55796007764,8623.724704648639,12793.811983376905
601.1320000000013,5.979570000000005,118.49,3,6,12,6.052211948155525,0.294809575854562,0.22613909008309352,7016.637459245154,16611.488271852184,20409.926293448247
451.88899999999984,3.7976000000000028,84.26,1,7,5,4.787200743712746,0.4159855780573491,0.2802673029064369,2465.388047743146,8815.217883623789,9431.537458425697
486.33399999999995,4.451000000000002,84.26,1,7,5,4.867716779173483,0.30851733232016393,0.16297022724191843,3765.2247665296304,8175.210116505988,11106.609130545545
509.60999999999984,4.567000000000004,78.01,1,6,7,4.422955378316331,0.18347495001463657,0.3901588827915953,4002.508940367409,7053.369977796665,8882.647269247544
490.9259999999998,4.050300000000003,88.67,1,8,5,5.4454414405759435,0.6986018441314117,0.10792232807969422,1603.582274249664,13402.146092918967,14108.964511676373
481.91499999999985,3.101300000000002,93.37,1,8,6,4.840271707092958,0.34709439566920003,0.10800627813237339,3379.371054322721,8241.805919736124,10959.654138146545
578.7130000000018,6.253100000000007,84.0,1,6,7,4.937791079862259,0.3134180202158687,0.15393300670868446,4552.5247669955725,10065.299701920527,13602.28249554375
468.8909999999999,4.541700000000003,71.37,1,6,5,5.006286757539407,0.505200394153142,0.18199806885833572,2279.1148693159453,10280.69236169552,10943.735913835166
447.4699999999998,3.152800000000002,93.49000000000001,1,8,7,4.635782673364449,0.33554162519713165,0.14684715901775247,2936.1251158744026,7013.628732331379,9282.93721316065
451.88899999999984,3.7976000000000028,84.26,1,7,5,4.597010474331424,0.34408914806860424,0.11817382039599782,2839.896415973665,7065.351726365739,9193.84523368974
328.81799999999976,4.890000000000003,16.96,1,2,2,4.043996474282239,0.27913326871336996,0.1878214342054401,1955.6744613267654,3563.193754813008,5236.050086012767
373.95299999999963,4.580200000000004,9.72,0,4,5,4.231227603442466,0.3064778311499379,0.2085004038636832,2176.272678950216,4796.842835519136,6416.860276585453
475.51499999999965,2.9392000000000023,100.35,3,5,7,6.655760381650864,0.8695590193544415,0.09091186560192029,948.3526294380047,20496.444023923043,20685.02041234018
437.4709999999998,3.284900000000002,91.65,2,5,6,6.210570553669989,0.7297940011715484,0.1415452918377619,1641.5247439352981,15871.27337127269,16234.753032817722
